Муниципалитет,Этап олимпиады,Год проведения,Количество участников,Количество призёров,Процент призёров,Средний балл по этапу
Арск,Школьный,2015,94,44,46.81,71.7
Тетюши,Региональный,2020.0,ошибка,0,ошибка,98.66
Бугульма,Школьный,2019,112,23,ошибка,47.88
Альметьевск,Региональный,2019,58,2,3.45,41.77
Кукмор,Заключительный,2019,124,48,38.71,87.95
Азнакаево,Заключительный,2017,49,21,ошибка,91.75
Зеленодольск,Региональный,2022,55,2,3.64,63.41
Кукмор,Муниципальный,2024,74,14,18.92,99.37
Мамадыш,Региональный,2019,56,7,12.5,71.45
Набережные Челны,Школьный,2021,46,22,47.83,42.88
Азнакаево,Региональный,2022,189,47,24.87,46.65
Апастово,Муниципальный,2019,32,13,40.62,78.09
Азнакаево,Региональный,2022,77,11,14.29,55.94
Менделеевск,Заключительный,2017,175,67,38.29,66.03
Тетюши,Муниципальный,2016,76,21,27.63,
Мамадыш,Школьный,2024,70,12,17.14,44.31
Агрыз,Школьный,2020,70,33,47.14,49.17
Набережные Челны,Школьный,2021,117,48,ошибка,42.85
Казань,Муниципальный,2021,185,13,ошибка,-1
Бугульма,Заключительный,2020,14,4,28.57,
Лениногорск,Муниципальный,2022,20,8,40.0,78.64
Тетюши,Школьный,2020,90,12,13.33,95.42
Агрыз,Школьный,2020,65,17,26.15,74.6
Елабуга,Заключительный,2022,168,34,20.24,74.84
Балтаси,Школьный,2022,,0,,92.03
Чистополь,Региональный,2021,10,3,30.0,97.08
Буинск,Школьный,2023,200,87,ошибка,65.38
Чистополь,Региональный,2018,14,3,21.43,51.4
Альметьевск,Региональный,2021,41,13,31.71,ошибка
Бугульма,Школьный,2016,,0,,86.5
Балтаси,Школьный,2016,73,16,21.92,63.3
Мамадыш,Заключительный,2022.0,156,57,36.54,49.98
Бавлы,Региональный,2020,12,0,,41.58
Зеленодольск,Муниципальный,2018,181,59,32.6,
Балтаси,Заключительный,2019,187,61,32.62,87.2
Агрыз,Заключительный,2023,180,6,3.33,
Заинск,Муниципальный,2020,52,17,32.69,55.68
Бавлы,Муниципальный,2021,84,0,,88.05
Набережные Челны,Региональный,2021,165,16,ошибка,86.06
Кукмор,Школьный,2020,13,0,,
Арск,Муниципальный,2021.0,121,23,19.01,59.82
Арск,Школьный,2016,68,16,23.53,95.49
Зеленодольск,Региональный,2022,58,5,8.62,55.08
Арск,Школьный,2022,,0,,54.88
Елабуга,Заключительный,2024,120,,,46.09
Бугульма,Школьный,2015,105,41,39.05,76.11
Мамадыш,Школьный,2024,110,42,ошибка,90.53
Заинск,Муниципальный,2024,20,ошибка,ошибка,78.1
Азнакаево,Заключительный,2019,168,70,41.67,43.61
Буинск,Заключительный,2017,23,6,26.09,56.28
Набережные Челны,Региональный,2022,12,6,50.0,66.3
Елабуга,Заключительный,2017,192,42,ошибка,69.09
Лениногорск,Региональный,2015,,0,,63.52
Чистополь,Школьный,2020,89,3,3.37,41.43
Лениногорск,Школьный,2020,10,2,20.0,
Агрыз,Муниципальный,2020,129,6,4.65,68.97
Набережные Челны,Муниципальный,2015,151,40,26.49,64.0
Набережные Челны,Региональный,2015,102,49,48.04,96.15
Зеленодольск,Региональный,2022,161,48,29.81,82.72
Лениногорск,Региональный,2021,107,10,ошибка,58.11
Чистополь,Региональный,2017.0,ошибка,0,,99.42
Лениногорск,Заключительный,2019,,,,55.69
Апастово,Муниципальный,2024,124,3,2.42,86.01
Арск,Школьный,2016,,0,,
Бавлы,Заключительный,2021,137,29,21.17,74.74
Елабуга,Муниципальный,2017,193,7,3.63,64.94
Арск,Заключительный,2020,64,8,12.5,52.96
Лениногорск,Муниципальный,2015,28,14,50.0,99.2
Буинск,Муниципальный,2016,,0,,74.95
Казань,Школьный,2015,13,6,ошибка,52.83
Менделеевск,Региональный,2020,196,6,3.06,82.56
Альметьевск,Муниципальный,2019,64,21,32.81,88.91
Буинск,Муниципальный,2021,151,ошибка,,74.73
Альметьевск,Региональный,2020,84,41,48.81,53.52
Балтаси,Заключительный,2018,120,34,28.33,80.05
Тетюши,Школьный,2017,184,57,ошибка,71.6
Тетюши,Школьный,2022,181,18,9.94,91.37
Мамадыш,Муниципальный,2017,68,22,32.35,98.6
Апастово,Региональный,2020,55,16,29.09,61.38
Менделеевск,Региональный,2019,98,40,40.82,89.44
Агрыз,Региональный,2020,86,29,ошибка,45.03
Бавлы,Муниципальный,2020,36,18,50.0,74.11
Альметьевск,Школьный,2022,,ошибка,,83.68
Набережные Челны,Муниципальный,2016,92,31,33.7,53.92
Мамадыш,Заключительный,2017,124,31,25.0,ошибка
Елабуга,Региональный,2019,78,10,ошибка,52.29
Азнакаево,Региональный,2018,76,35,ошибка,45.28
Альметьевск,Заключительный,2022,,0,,77.15
Апастово,Региональный,2021,200,60,30.0,89.37
Лениногорск,Заключительный,2019,168,48,28.57,75.99
Мамадыш,Школьный,2020,109,11,10.09,44.72
Бугульма,Заключительный,2015,10,3,30.0,94.47
Бавлы,Муниципальный,2021.0,,0,ошибка,78.95
Казань,Муниципальный,2021,151,12,7.95,58.3
Арск,Заключительный,2019,66,24,36.36,79.58
Альметьевск,Муниципальный,2022,179,21,11.73,ошибка
Елабуга,Муниципальный,2019,52,24,ошибка,91.22
Буинск,Школьный,2016,122,21,17.21,-1
Агрыз,Школьный,2015,139,28,20.14,41.17
Мамадыш,Заключительный,2020,168,4,2.38,90.71
Бавлы,Школьный,2024,102,33,32.35,47.34
Азнакаево,Заключительный,2022,17,2,11.76,78.12
Балтаси,Заключительный,2019,43,16,37.21,42.39
Балтаси,Региональный,2022,,0,,63.26
Бугульма,Региональный,2022,192,22,ошибка,42.7
Чистополь,Школьный,2018,200,,,65.13
Агрыз,Муниципальный,2022,27,13,48.15,65.39
Елабуга,Региональный,2023,99,4,4.04,80.11
Агрыз,Региональный,2021,103,49,47.57,76.15
Балтаси,Муниципальный,2019.0,171,35,20.47,51.41
Набережные Челны,Школьный,2023,189,,,87.12
Заинск,Муниципальный,2019,105,39,37.14,52.39
Лениногорск,Муниципальный,2023,142,27,ошибка,97.79
Мамадыш,Региональный,2015,ошибка,,,45.82
Кукмор,Региональный,2018,33,,,43.32
Агрыз,Муниципальный,2021,ошибка,0,,57.83
Тетюши,Муниципальный,2020,83,28,33.73,42.19
Заинск,Заключительный,2023,19,5,26.32,93.48
Бугульма,Заключительный,2022,174,76,43.68,85.7
Казань,Школьный,2021,197,93,47.21,67.8
Бугульма,Региональный,2024,122,,,45.84
Балтаси,Школьный,2017,93,22,23.66,76.12
Арск,Региональный,2023,136,6,ошибка,67.61
Мамадыш,Заключительный,2018,91,,,74.58
Елабуга,Заключительный,2017,107,36,33.64,67.33
Азнакаево,Заключительный,2016,,0,,
Балтаси,Школьный,2017,122,32,26.23,96.46
Буинск,Муниципальный,2018,169,,,67.35
Арск,Региональный,2019,172,68,39.53,95.96
Заинск,Муниципальный,2018,193,36,18.65,45.26
Лениногорск,Школьный,2015,187,93,49.73,71.26
Елабуга,Заключительный,2021,49,2,4.08,96.08
Чистополь,Заключительный,2024,170,66,ошибка,87.19
Зеленодольск,Муниципальный,2020,,0,,90.21
Арск,Региональный,2021,188,82,43.62,76.18
Мамадыш,Заключительный,2021,192,42,21.88,57.25
Буинск,Школьный,2020.0,,0,,71.19
Менделеевск,Региональный,2022,47,,,49.1
Балтаси,Муниципальный,2015,99,36,36.36,64.39
Зеленодольск,Школьный,2016,169,80,47.34,40.52
Елабуга,Региональный,2018.0,23,8,34.78,97.4
Бавлы,Заключительный,2015.0,45,ошибка,,84.05
Балтаси,Школьный,2022,135,15,ошибка,49.95
Тетюши,Муниципальный,2017,,0,,62.69
Менделеевск,Заключительный,2019.0,159,70,44.03,60.75
Кукмор,Муниципальный,2019,59,25,42.37,94.12
Набережные Челны,Школьный,2022,32,10,31.25,59.2
Кукмор,Заключительный,2023.0,128,,ошибка,97.82
Казань,Региональный,2015,115,20,17.39,40.1
Менделеевск,Муниципальный,2023,190,89,46.84,96.73
Бавлы,Заключительный,2021,51,22,43.14,50.13
Менделеевск,Региональный,2020,134,25,18.66,71.87
Елабуга,Региональный,2024,84,8,9.52,86.24
Балтаси,Школьный,2023,113,,ошибка,49.0
Казань,Школьный,2018,20,4,20.0,75.7
Бугульма,Региональный,2019,129,7,5.43,94.46
Мамадыш,Школьный,2023.0,,0,,49.81
Лениногорск,Муниципальный,2023,115,51,44.35,69.16
Елабуга,Школьный,2022,92,35,38.04,92.88
Азнакаево,Муниципальный,2018,169,12,ошибка,53.75
Менделеевск,Региональный,2023,10,4,40.0,42.74
Заинск,Муниципальный,2019,38,8,21.05,84.9
Зеленодольск,Заключительный,2015,105,17,16.19,84.57
Казань,Региональный,2023,17,6,35.29,-1
Лениногорск,Региональный,2023.0,119,11,9.24,63.78
Бугульма,Школьный,2019,25,8,32.0,53.23
Зеленодольск,Школьный,2020,42,5,11.9,57.07
Азнакаево,Школьный,2017,154,38,24.68,96.55
Лениногорск,Заключительный,2024,11,5,45.45,92.68
Казань,Школьный,2018,ошибка,0,,82.3
Арск,Региональный,2019.0,88,10,11.36,88.63
Тетюши,Заключительный,2024,86,15,17.44,93.55
Зеленодольск,Школьный,2021,,0,,-1
Буинск,Заключительный,2021,107,6,ошибка,51.43
Агрыз,Школьный,2023,ошибка,,,64.15
Тетюши,Школьный,2022,39,ошибка,,73.19
Балтаси,Муниципальный,2023,,ошибка,,
Лениногорск,Школьный,2021.0,103,12,11.65,-1
Апастово,Региональный,2023,163,17,10.43,45.31
Агрыз,Школьный,2016,131,56,42.75,56.7
Кукмор,Муниципальный,2021,16,1,6.25,59.69
Чистополь,Школьный,2019,,0,,82.49
Чистополь,Региональный,2018,109,2,1.83,72.58
Елабуга,Школьный,2018,10,ошибка,,43.94
Альметьевск,Заключительный,2016,,0,,43.72
Казань,Региональный,2021,119,50,42.02,64.88
Зеленодольск,Региональный,2019,121,2,1.65,60.46
Набережные Челны,Заключительный,2021,97,45,46.39,50.53
Заинск,Школьный,2024,35,14,40.0,74.44
Агрыз,Региональный,2017,33,6,18.18,61.35
Зеленодольск,Региональный,2019,133,,,77.39
Балтаси,Школьный,2015,192,,,99.93
Заинск,Школьный,2018,86,3,3.49,
Казань,Региональный,2017,157,1,0.64,54.36
Мамадыш,Заключительный,2017,91,13,14.29,53.06
Заинск,Школьный,2015,10,,,53.97
Агрыз,Школьный,2020,179,45,25.14,54.2
Лениногорск,Региональный,2021,193,39,20.21,41.18
Менделеевск,Школьный,2018.0,139,41,29.5,79.14
Тетюши,Региональный,2021,153,52,ошибка,
Набережные Челны,Муниципальный,2020.0,84,13,ошибка,57.05
Бавлы,Региональный,2019,10,,,71.88
Азнакаево,Заключительный,2023,76,16,21.05,50.96
Елабуга,Муниципальный,2023,120,34,28.33,86.58
Кукмор,Региональный,2018,82,17,ошибка,50.51
Зеленодольск,Школьный,2023,169,57,ошибка,91.39
Апастово,Заключительный,2015,63,,,67.02
Азнакаево,Школьный,2017,152,60,39.47,98.47
Заинск,Муниципальный,2024,116,29,ошибка,52.21
Агрыз,Школьный,2024,ошибка,0,,76.42
Зеленодольск,Заключительный,2021,198,77,38.89,54.77
Менделеевск,Заключительный,2021,134,1,0.75,50.01
Лениногорск,Заключительный,2016,135,2,1.48,
Набережные Челны,Заключительный,2019,24,4,16.67,75.5
Набережные Челны,Региональный,2020,106,46,43.4,49.13
Бугульма,Региональный,2020,154,56,36.36,62.64
Чистополь,Муниципальный,2023,24,,,54.42
Альметьевск,Муниципальный,2017,21,4,19.05,66.24
Елабуга,Региональный,2024,196,51,26.02,76.36
Арск,Муниципальный,2022,66,0,,87.95
Лениногорск,Муниципальный,2021,43,1,2.33,77.59
Агрыз,Школьный,2023,31,10,32.26,98.45
Бугульма,Заключительный,2024,54,ошибка,,87.04
Мамадыш,Школьный,2017,85,41,48.24,78.34
Кукмор,Школьный,2020,180,89,49.44,84.74
Елабуга,Школьный,2022,,0,,95.99
Азнакаево,Муниципальный,2023.0,102,25,24.51,98.23
Азнакаево,Региональный,2019,,0,,47.33
Менделеевск,Муниципальный,2019,142,,ошибка,47.98
Елабуга,Региональный,2020,37,11,29.73,56.63
Балтаси,Заключительный,2024,75,,,62.66
Елабуга,Школьный,2016,31,6,ошибка,45.27
Менделеевск,Заключительный,2022,71,30,42.25,57.01
Зеленодольск,Муниципальный,2023.0,109,17,15.6,67.7
Балтаси,Заключительный,2015,,0,,98.97
Казань,Школьный,2017.0,153,68,44.44,82.69
Мамадыш,Школьный,2019,168,17,ошибка,70.82
Елабуга,Муниципальный,2017,147,40,27.21,47.98
Кукмор,Региональный,2016,160,76,47.5,44.85
Тетюши,Школьный,2024,,0,,54.26
Бугульма,Заключительный,2020,,0,ошибка,52.42
Арск,Муниципальный,2022,,0,,72.41
Лениногорск,Региональный,2018,ошибка,0,,71.09
Зеленодольск,Школьный,2021,184,71,ошибка,-1
Тетюши,Школьный,2021,10,2,ошибка,-1
Буинск,Муниципальный,2024,137,62,45.26,96.92
Тетюши,Региональный,2018,169,8,ошибка,90.53
Заинск,Заключительный,2023,193,71,36.79,42.6
Набережные Челны,Школьный,2018,110,30,27.27,-1
Елабуга,Муниципальный,2016,110,3,2.73,43.71
Елабуга,Муниципальный,2024.0,151,44,29.14,68.02
Азнакаево,Муниципальный,2015,142,53,37.32,44.22
Бавлы,Муниципальный,2023,186,23,12.37,79.75
Елабуга,Региональный,2015,87,28,32.18,63.47
Бавлы,Заключительный,2024,137,1,0.73,70.69
Казань,Региональный,2023,193,,,67.4
Агрыз,Заключительный,2019,121,,ошибка,73.16
Буинск,Муниципальный,2024,176,,,82.85
Буинск,Муниципальный,2021,25,9,36.0,60.69
Чистополь,Муниципальный,2016,76,ошибка,,80.28
Тетюши,Школьный,2021,113,42,37.17,80.1
Агрыз,Региональный,2016,85,,,
Зеленодольск,Заключительный,2024.0,84,29,34.52,93.7
Кукмор,Региональный,2023,167,70,41.92,70.62
Лениногорск,Заключительный,2018,74,21,28.38,75.08
Апастово,Заключительный,2017,11,4,36.36,69.77
Азнакаево,Школьный,2024,40,6,ошибка,92.57
Апастово,Региональный,2021,91,33,36.26,60.93
Мамадыш,Муниципальный,2021,190,74,38.95,95.41
Балтаси,Заключительный,2022,79,17,21.52,58.39
Зеленодольск,Муниципальный,2021,22,8,ошибка,83.67
Менделеевск,Муниципальный,2024,156,24,15.38,50.92
Кукмор,Заключительный,2021,45,18,40.0,47.3
Кукмор,Муниципальный,2019.0,142,25,17.61,93.15
Елабуга,Региональный,2020.0,172,16,9.3,41.42
Апастово,Заключительный,2015,70,16,22.86,83.48
Елабуга,Региональный,2022,157,33,21.02,48.6
Зеленодольск,Заключительный,2016,187,64,34.22,90.14
Азнакаево,Региональный,2022,59,15,25.42,55.81
Буинск,Региональный,2015,79,29,36.71,72.15
Апастово,Муниципальный,2021,68,24,35.29,71.54
Агрыз,Региональный,2021,42,6,14.29,87.16
Кукмор,Муниципальный,2022,190,,ошибка,72.42
Зеленодольск,Школьный,2021,155,61,39.35,73.43
Чистополь,Муниципальный,2018,21,,,89.5
Чистополь,Муниципальный,2017,160,38,23.75,85.39
Арск,Региональный,2017,54,7,12.96,74.98
Азнакаево,Школьный,2017,175,76,43.43,96.55
Бугульма,Школьный,2015,,,,90.4
Зеленодольск,Региональный,2021,124,51,ошибка,ошибка
Тетюши,Школьный,2021,117,41,35.04,93.08
Балтаси,Муниципальный,2021,100,44,ошибка,66.88
Азнакаево,Муниципальный,2021,52,1,1.92,40.78
Агрыз,Школьный,2019,177,62,35.03,90.77
Менделеевск,Заключительный,2021,148,5,3.38,48.21
Арск,Заключительный,2022,10,2,20.0,43.75
Балтаси,Региональный,2016,136,,ошибка,96.36
Лениногорск,Муниципальный,2015,24,11,45.83,41.66
Буинск,Муниципальный,2018,105,36,ошибка,71.46
Тетюши,Заключительный,2020,,0,,91.6
Мамадыш,Муниципальный,2020,93,,,48.26
Буинск,Заключительный,2017,169,55,32.54,65.56
Чистополь,Муниципальный,2017,142,5,3.52,64.32
Кукмор,Муниципальный,2020,42,9,ошибка,60.39
Набережные Челны,Муниципальный,2016,,0,,81.99
Буинск,Муниципальный,2024,123,58,47.15,65.39
Лениногорск,Школьный,2018,79,39,49.37,62.07
Лениногорск,Региональный,2016,175,47,26.86,83.15
Заинск,Школьный,2018,63,7,11.11,56.22
Тетюши,Муниципальный,2017,53,24,45.28,68.69
Бавлы,Школьный,2016,53,0,,95.48
Буинск,Региональный,2023,29,2,6.9,51.1
Арск,Муниципальный,2020,,0,,40.62
Апастово,Региональный,2024,10,,,48.43
Балтаси,Школьный,2020,94,28,29.79,96.29
Чистополь,Школьный,2021,141,27,19.15,99.5
Мамадыш,Муниципальный,2015,159,2,1.26,88.84
Казань,Школьный,2021,193,48,24.87,
Апастово,Муниципальный,2019,104,,ошибка,62.35
Альметьевск,Заключительный,2020,134,46,34.33,64.09
Бугульма,Школьный,2020,183,22,12.02,54.75
Арск,Заключительный,2018,22,3,13.64,98.14
Елабуга,Муниципальный,2015,27,1,3.7,63.03
Елабуга,Школьный,2019,79,2,ошибка,47.52
Азнакаево,Муниципальный,2015,146,65,44.52,90.19
Менделеевск,Школьный,2018,73,11,15.07,-1
Заинск,Региональный,2015.0,10,4,40.0,97.2
Арск,Школьный,2024,96,20,20.83,64.38
Бавлы,Муниципальный,2023,89,9,10.11,59.9
Зеленодольск,Региональный,2019,21,10,47.62,99.62
Елабуга,Муниципальный,2023,95,6,6.32,53.76
Елабуга,Региональный,2015,143,47,32.87,84.57
Лениногорск,Заключительный,2021,,0,ошибка,86.09
Казань,Муниципальный,2022,124,ошибка,,97.21
Менделеевск,Школьный,2016,16,8,50.0,63.22
Менделеевск,Муниципальный,2021,141,17,12.06,70.19
Бугульма,Региональный,2015,31,ошибка,,67.98
Буинск,Школьный,2017,,0,ошибка,47.6
Буинск,Школьный,2015,39,12,ошибка,95.16
Казань,Муниципальный,2017,118,45,38.14,74.73
Буинск,Школьный,2023,183,89,ошибка,75.41
Мамадыш,Муниципальный,2024,73,18,24.66,91.46
Елабуга,Муниципальный,2020,127,26,20.47,88.51
Чистополь,Муниципальный,2023,156,6,3.85,50.29
Балтаси,Заключительный,2020,50,6,ошибка,77.87
Менделеевск,Региональный,2018,61,7,11.48,-1
Заинск,Региональный,2017,143,2,1.4,43.22
Елабуга,Региональный,2023,42,10,23.81,
Менделеевск,Заключительный,2017,21,1,4.76,ошибка
Альметьевск,Региональный,2022,135,20,14.81,56.28
Кукмор,Муниципальный,2022,161,74,45.96,49.24
Менделеевск,Заключительный,2021,56,8,14.29,85.72
Лениногорск,Региональный,2023,96,11,11.46,-1
Буинск,Муниципальный,2018,82,1,1.22,89.78
Менделеевск,Заключительный,2023,181,67,ошибка,ошибка
Азнакаево,Школьный,2020,86,5,5.81,62.91
Чистополь,Муниципальный,2017,107,39,36.45,57.65
Лениногорск,Заключительный,2022,199,49,ошибка,76.96
Набережные Челны,Муниципальный,2024,,0,,64.85
Елабуга,Региональный,2022.0,64,19,29.69,78.33
Апастово,Заключительный,2019,,0,,42.31
Бугульма,Муниципальный,2023,,0,,79.46
Апастово,Региональный,2024.0,197,,ошибка,70.9
Менделеевск,Муниципальный,2022,124,9,7.26,90.5
Апастово,Школьный,2023,191,17,8.9,46.92
Бугульма,Заключительный,2015,33,10,30.3,99.41
Апастово,Муниципальный,2016,79,9,ошибка,ошибка
Альметьевск,Региональный,2015,,0,,60.64
Буинск,Школьный,2020,70,32,45.71,42.72
Бавлы,Региональный,2022,69,7,10.14,89.81
Тетюши,Заключительный,2019,50,16,32.0,70.43
Зеленодольск,Заключительный,2015,157,55,35.03,60.29
Балтаси,Муниципальный,2022,139,67,48.2,59.94
Менделеевск,Заключительный,2021,10,0,,61.5
Казань,Школьный,2023,113,4,3.54,66.32
Бавлы,Школьный,2016,157,40,25.48,50.2
Зеленодольск,Заключительный,2018,116,52,44.83,59.3
Агрыз,Школьный,2018,45,,,ошибка
Буинск,Школьный,2022,30,13,ошибка,88.21
Заинск,Школьный,2021,165,5,3.03,71.31
Зеленодольск,Заключительный,2020,128,60,46.88,95.96
Азнакаево,Региональный,2017.0,27,6,ошибка,ошибка
Казань,Школьный,2020,142,26,18.31,77.62
Бавлы,Региональный,2023,189,58,ошибка,73.81
Апастово,Заключительный,2020,174,80,45.98,79.41
Казань,Региональный,2020,137,18,13.14,
Кукмор,Заключительный,2016,15,1,ошибка,57.56
Казань,Муниципальный,2017,193,88,ошибка,82.27
Мамадыш,Заключительный,2021,28,7,25.0,70.81
Зеленодольск,Школьный,2015,150,61,40.67,86.2
Зеленодольск,Школьный,2020,95,,,43.33
Бугульма,Муниципальный,2019,,0,,99.08
